Xander;1;3;3;1;5;2;2;1;4;4;1;3;5;1;2;4;2;1;3;2;5
Mannix;1;2;2;3;3;2;2;5;4;4;4;5;3;1;4;3;3;3;3;2;4
Ralph;1;2;2;4;4;2;3;1;5;5;4;3;5;1;1;2;4;4;4;3;2
Jorden;1;1;3;4;2;3;3;2;2;2;4;4;5;4;2;4;2;4;3;3;5
Chandler;1;2;1;1;2;4;2;3;2;4;3;2;4;2;5;3;3;4;2;4;2
Raya;1;4;2;2;1;2;4;2;2;4;4;4;4;3;1;1;3;2;3;4;2
Cailin;1;3;2;4;3;4;3;4;3;4;2;3;2;3;3;2;1;3;3;4;3
Hashim;1;3;5;4;2;5;2;5;2;4;5;3;4;3;3;4;3;1;3;3;2
Violet;2;4;3;5;2;2;4;4;5;4;1;3;1;2;3;5;4;2;4;2;4
Cassandra;2;4;1;2;4;3;4;4;4;5;3;4;2;4;2;4;3;3;2;3;2
Lee;2;3;4;2;1;2;2;2;4;1;5;2;2;5;1;1;3;2;3;2;2
Haley;2;2;5;3;3;3;3;4;3;2;4;2;5;5;2;4;2;2;5;1;1
Jessamine;2;2;2;4;2;2;4;5;4;3;3;2;1;4;4;3;4;4;5;2;5
Jade;2;2;5;4;1;4;3;5;2;1;4;4;5;4;4;1;1;3;3;3;3
Haley;2;5;1;2;2;2;4;1;4;1;3;5;4;5;3;1;1;4;4;4;2
Tobias;2;2;1;4;3;5;2;2;5;2;4;4;5;4;4;4;1;1;4;4;4
Savannah;2;2;4;2;2;2;3;2;2;3;1;1;2;2;3;4;4;2;4;3;2
Micah;2;5;1;3;4;1;3;3;5;5;3;3;4;5;2;3;1;3;5;1;3
Ulysses;2;5;4;4;3;3;4;1;2;3;3;4;1;2;4;2;2;3;4;2;5
Zia;2;4;3;2;2;3;2;3;2;1;3;3;3;2;2;5;3;4;4;3;2
Ishmael;2;4;2;2;1;1;3;3;5;4;2;4;1;1;1;2;2;3;2;3;3
Palmer;2;2;3;4;5;5;5;1;2;4;4;1;4;5;3;1;2;3;2;2;1
Aphrodite;2;5;2;5;3;2;4;2;1;2;4;2;2;4;2;2;1;2;3;4;1
Dominique;2;1;2;1;3;4;4;4;3;1;3;2;1;2;5;3;1;4;5;5;5
Alexandra;2;2;4;4;3;5;5;4;5;4;3;3;2;3;4;4;5;4;3;3;5
Wanda;2;1;4;1;2;2;5;2;3;5;2;2;1;2;2;2;1;3;3;2;4
Leah;2;5;3;5;2;4;4;2;4;3;4;2;2;5;4;3;3;5;2;5;5
Mark;2;5;4;3;2;3;2;4;5;4;2;3;4;2;4;3;3;4;4;3;2
Ivor;2;5;3;3;2;4;2;2;5;4;4;3;3;2;2;5;3;5;3;3;2
Quon;2;3;2;3;3;3;5;1;4;2;2;3;3;3;2;4;3;1;2;3;1
Pearl;2;5;5;2;2;5;3;2;3;2;5;3;3;3;4;4;3;5;5;1;5
Axel;2;4;5;3;3;2;1;2;1;2;2;2;3;1;3;3;3;4;3;3;3
Aaron;2;4;2;3;5;2;5;2;3;3;2;4;4;2;1;2;4;4;4;3;2
Samantha;2;2;5;5;4;4;5;2;1;5;4;5;3;3;2;3;4;3;5;3;2
Benjamin;2;2;5;2;2;3;3;1;4;4;2;5;4;4;4;1;2;1;2;1;2
Colleen;2;3;2;3;1;3;1;4;2;3;2;1;3;4;4;4;4;4;5;3;3
Clinton;2;2;1;4;4;2;2;1;4;3;4;4;2;2;2;2;4;4;3;3;2
Merritt;2;1;4;4;1;4;3;2;5;5;5;4;3;2;4;4;3;3;5;1;2
Kato;2;4;3;1;3;2;4;1;5;4;1;2;3;4;5;4;4;4;2;3;1
Alisa;2;4;2;4;1;4;2;2;4;3;1;3;4;2;5;1;2;2;1;2;2
Zia;2;5;2;3;4;2;2;1;3;5;1;3;1;2;4;3;3;4;4;2;1
Nasim;2;3;4;5;3;2;5;3;2;4;3;2;4;5;4;4;3;2;5;4;2
Jaquelyn;2;3;4;4;5;5;3;3;4;5;1;1;1;4;4;4;4;5;1;1;2
Maite;2;4;5;2;4;3;4;3;3;1;4;2;3;2;4;3;5;4;4;2;3
Felix;2;2;2;1;3;3;2;3;3;4;3;5;4;2;2;4;4;4;5;4;2
Hayden;2;2;4;3;3;5;1;4;3;2;2;2;2;1;1;3;4;3;5;1;3
Nora;2;5;1;3;2;1;1;4;5;1;2;4;4;2;5;3;3;3;2;4;4
Hoyt;2;3;2;5;4;1;2;3;5;4;2;4;5;3;1;3;3;1;4;5;2
Julian;2;5;4;2;5;1;1;2;5;4;1;5;4;4;2;4;4;5;1;3;2
Malcolm;2;5;3;3;2;2;4;4;3;5;3;1;3;3;4;1;1;2;2;4;5
Lavinia;2;1;1;4;1;5;2;2;1;2;4;3;4;4;2;2;4;4;4;4;1
Tara;2;4;4;4;2;4;4;3;3;3;5;4;1;3;1;4;4;3;3;3;1
Ian;2;3;2;4;2;4;2;2;1;4;5;3;4;4;4;2;4;2;1;3;5
Mannix;2;4;4;3;3;1;3;3;3;4;1;1;2;2;4;4;4;3;3;2;2
Jeremy;2;4;4;2;2;5;1;4;4;4;4;4;1;5;5;2;2;3;4;2;2
Ocean;2;3;2;1;2;2;4;2;3;1;4;1;2;4;5;2;2;5;2;2;4
George;2;3;2;3;4;3;4;2;3;2;4;2;3;4;5;1;4;3;4;2;4
Noelle;2;1;4;3;2;4;1;4;2;4;2;3;1;3;4;5;5;3;4;1;1
Kaseem;2;3;4;3;5;3;5;2;4;3;1;4;1;2;1;5;1;3;2;1;1
Virginia;2;4;1;1;4;2;1;5;1;5;3;3;3;4;2;3;3;3;4;5;5
Macaulay;2;2;4;5;2;1;4;2;5;4;5;3;2;1;4;2;3;2;3;1;4
Eleanor;2;4;3;2;4;2;4;3;3;1;2;3;3;1;3;4;3;3;2;5;4
Sigourney;2;5;2;3;5;3;3;2;3;3;1;4;1;2;2;4;1;2;1;3;3
Mannix;2;2;3;2;1;2;1;2;1;3;2;2;1;2;4;2;2;5;5;3;3
Lester;2;2;4;4;4;3;3;3;2;3;2;4;2;4;3;1;2;3;2;4;5
Zenaida;2;3;2;4;2;1;2;4;2;4;4;3;2;4;1;5;3;3;1;1;3
Erica;2;3;4;5;3;4;1;2;2;2;5;1;3;5;1;4;3;3;5;1;4
Patrick;2;4;2;4;4;3;2;5;2;3;3;5;3;4;1;2;4;1;1;1;1
Rylee;2;4;4;4;2;1;4;3;5;2;2;3;5;1;3;2;3;2;2;3;3
Holmes;2;4;2;4;3;3;3;2;3;4;4;2;1;4;4;3;2;4;5;4;2
Rooney;2;2;3;1;5;5;2;3;4;3;4;1;2;1;2;4;4;4;4;4;4
Kennan;2;2;2;3;3;4;4;3;2;1;2;4;3;3;2;5;2;2;2;4;4
Sebastian;2;1;2;3;2;3;3;4;1;3;2;3;3;2;3;2;3;2;3;2;1
Alma;2;3;5;5;4;3;4;4;4;4;5;4;4;4;4;1;2;4;3;1;1
Isadora;2;5;2;2;3;4;1;5;1;3;2;3;2;4;2;3;2;2;1;4;3
Brynn;2;1;3;3;4;4;2;1;5;2;3;5;2;4;4;4;2;1;3;4;2
Alana;2;2;4;2;4;2;5;4;2;1;2;4;2;4;3;3;4;1;2;5;1
Scarlett;2;2;1;2;4;2;3;2;2;2;4;2;3;1;4;3;2;3;3;4;4
Hector;2;4;4;3;5;2;2;1;1;3;2;2;1;3;1;3;2;3;1;4;1
Rigel;2;3;3;2;5;2;3;3;2;2;3;5;2;2;3;2;2;3;2;2;4
Solomon;2;2;3;5;3;3;4;1;4;1;2;4;2;2;3;4;4;2;5;3;5
Ryan;2;2;3;3;5;5;2;4;4;5;3;2;4;3;5;4;3;4;1;1;3
Shad;2;4;4;4;4;4;3;3;3;1;5;5;1;5;2;2;1;5;2;4;3
Perry;2;2;4;4;2;2;1;2;1;3;1;4;4;3;4;5;3;4;4;3;1
Nathaniel;2;2;1;2;4;3;4;4;3;4;4;4;2;4;1;3;4;3;5;4;3
Karleigh;2;4;2;4;1;4;4;4;2;2;1;1;3;4;4;5;3;3;3;4;4
Amaya;2;3;2;2;3;3;3;3;1;1;4;3;1;3;4;4;2;4;2;2;3
Justine;2;4;4;3;1;4;3;2;4;5;4;2;1;3;4;1;4;3;1;3;4
Amery;2;3;3;2;3;2;4;1;4;2;4;3;2;5;4;5;3;1;1;4;3
Wallace;2;4;3;4;4;2;3;4;2;2;3;5;4;4;1;4;3;2;5;2;3
Griffin;2;2;2;3;3;4;2;1;4;5;5;2;2;5;3;2;3;1;5;4;4
Sasha;2;2;3;3;5;3;3;1;3;2;4;3;5;3;5;3;3;2;3;3;2
Plato;2;4;3;2;3;4;1;4;2;5;4;3;5;1;5;3;5;4;4;5;3
Vivian;2;2;4;3;2;3;4;4;2;5;5;4;2;5;4;2;3;3;5;3;4
Abigail;2;1;3;3;3;2;4;1;2;3;3;1;5;1;3;3;5;5;2;4;2
Leo;2;4;5;3;1;2;2;4;1;2;1;5;1;5;3;2;2;2;3;3;2
Nola;2;3;1;2;1;3;3;3;2;2;1;3;1;4;2;2;4;3;2;3;1
Sawyer;2;3;4;3;2;2;5;3;4;4;3;2;4;4;2;2;3;1;4;1;4
James;2;2;4;3;4;2;2;3;3;4;3;2;1;1;3;3;2;5;3;2;3
Candice;2;2;2;5;3;4;5;5;5;1;2;3;4;5;4;4;4;4;5;3;4
